"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.197482265632543,0.278564473584924,0.045,0.04,1,"ZNF865"
0.197641706872955,0.178129096104103,0.099,0.094,1,"PNKP"
0.19785538325707,0.463916741029937,0.01,0.007,1,"AC105074.1"
0.197937033146669,0.199953292529683,0.141,0.138,1,"UPF3B"
0.19895958763565,-0.146254933528525,0.021,0.026,1,"AC003665.1"
0.199602456227389,0.278435544460317,0.047,0.042,1,"BMP2"
0.199752612254414,0.213842469216796,0.039,0.034,1,"ERI1"
0.199846291605718,0.227888255535705,0.12,0.117,1,"MFN1"
0.199985704830733,0.183721502696294,0.123,0.119,1,"UBAP2"
0.200584458943055,-0.195414480502865,0.018,0.022,1,"TMEM143"
0.200738659008023,-0.117383592266285,0.034,0.04,1,"ALOX12-AS1"
0.201365666987124,-0.153564948430303,0.032,0.038,1,"WDR27"
0.201446249742802,0.269844203506251,0.052,0.046,1,"SETDB1"
0.202094383810529,0.29639981596365,0.04,0.035,1,"CWF19L1"
0.202113537962273,0.35644807505109,0.031,0.027,1,"PGBD1"
0.202116772401337,0.293356714458084,0.023,0.019,1,"GNG2"
0.202194320762315,-0.13111974179604,0.062,0.071,1,"HSCB"
0.202249116373255,0.20024852405595,0.1,0.095,1,"ELP5"
0.20234158458891,0.611506062045336,0.01,0.007,1,"CLN3"
0.202521058964649,0.245849783670173,0.062,0.057,1,"FAM49B"
0.203120161302624,0.3330496060879,0.021,0.017,1,"PFKFB2"
0.203164556959501,0.338777299166684,0.031,0.026,1,"POLE"
0.203420173314587,0.311470919938632,0.038,0.033,1,"PTCD1"
0.203543177908871,0.205754903724777,0.096,0.092,1,"IL17RC"
0.204321772892517,0.540983784916924,0.01,0.008,1,"EEF1G"
0.204415415886124,-0.331788676326516,0.008,0.011,1,"AC012645.1"
0.204759142171892,0.171544875706721,0.14,0.136,1,"NUMB"
0.204889296755916,0.394323746157352,0.01,0.007,1,"AC006064.4"
0.205636828210151,0.176674122163812,0.125,0.122,1,"SDHAF2"
0.205835432475322,0.618687949983848,0.01,0.008,1,"AQP3"
0.206301784910981,0.146873194720023,0.201,0.204,1,"FBXW11"
0.206687364422586,0.130351154574079,0.182,0.185,1,"MRPS14"
0.206700946718777,-0.105867584229913,0.039,0.045,1,"SLC25A44"
0.206820954533036,0.205364465275017,0.075,0.07,1,"STARD3"
0.207181765532335,0.527716045395117,0.012,0.009,1,"INPP5J"
0.207479665612776,0.204960930181384,0.057,0.052,1,"MMS19"
0.207961106380475,0.516174133221308,0.01,0.008,1,"AC022498.2"
0.208677021553911,0.123285510302196,0.226,0.23,1,"IFT43"
0.20926893717106,-0.243029979850302,0.01,0.013,1,"ZBED3-AS1"
0.210244292438605,0.600096353939122,0.023,0.027,1,"TYMS"
0.21036084898527,-0.154382847676674,0.026,0.031,1,"KCTD5"
0.210535320978152,0.268750927412113,0.035,0.031,1,"APTR"
0.211209609285663,0.336311948548523,0.03,0.026,1,"ZNF778"
0.21166612980213,0.171138247260896,0.101,0.098,1,"ZNF787"
0.212034685390557,0.366204827503994,0.022,0.018,1,"RPL24P4"
0.212056676839423,0.170069862487774,0.128,0.124,1,"UPF1"
0.21215134994963,0.161787666025917,0.139,0.138,1,"RPRD1A"
0.212255662096681,-0.254594008807872,0.015,0.018,1,"ANKRD33B"
0.212261785685924,0.398992995461254,0.014,0.011,1,"STBD1"
0.212586559216942,0.169858977574856,0.117,0.114,1,"RXRB"
0.212612968634562,0.291749968979076,0.044,0.039,1,"MTND2P28"
0.213457413621529,0.123008688378442,0.236,0.238,1,"MRPS10"
0.213579731539951,0.232116874329893,0.058,0.053,1,"LIG3"
0.213876682766489,0.255831844475436,0.055,0.05,1,"PPM1F"
0.214141768035107,-0.197116874659705,0.017,0.02,1,"NANP"
0.214483501924638,0.334525209941996,0.038,0.033,1,"NRF1"
0.215113838910262,0.456138495004369,0.019,0.016,1,"AL390728.6"
0.215304089324447,0.230881210780714,0.039,0.034,1,"AL022311.1"
0.215351904856728,0.242504651298109,0.07,0.065,1,"CMTR1"
0.215584388815384,0.170923296883384,0.142,0.138,1,"TWF1"
0.215790924457402,-0.210693573271092,0.009,0.011,1,"AC024060.1"
0.21702307154367,0.239975436736717,0.017,0.013,1,"MEST"
0.217190600200315,-0.164297773700894,0.016,0.019,1,"LINC00339"
0.217350087909933,0.148124355490159,0.212,0.215,1,"PAXX"
0.2174544956279,0.200688238568466,0.111,0.107,1,"DNM2"
0.217899321187774,-0.198415001747906,0.027,0.032,1,"CLP1"
0.218038497090963,-0.321058340896729,0.01,0.012,1,"RPS15AP30"
0.218568982152606,0.420530411177835,0.02,0.017,1,"SMIM10L2B"
0.218899932709873,-0.149123405634641,0.027,0.031,1,"KAT14"
0.219157380649892,0.126204348088966,0.211,0.215,1,"UBA1"
0.219721838530862,0.279764946100526,0.057,0.052,1,"MPND"
0.219899741350084,-0.119062937820583,0.044,0.05,1,"CAPN10"
0.220393613542496,0.114377002938438,0.093,0.086,1,"RASSF4"
0.220588193651296,-0.226564085460227,0.015,0.018,1,"TMEM206"
0.220789723208621,-0.435722488793397,0.011,0.014,1,"CSTA"
0.221167792109988,0.227560321293747,0.04,0.035,1,"TIMM8A"
0.22139210321977,-0.2507707087475,0.021,0.025,1,"ZNF585B"
0.221537524715189,-0.107070865681765,0.056,0.064,1,"RARG"
0.221649894719683,0.278365847894454,0.053,0.048,1,"AARSD1"
0.222409686641202,0.264785713534367,0.049,0.044,1,"CEP250"
0.223699173604462,-0.113242819945771,0.043,0.049,1,"AC020915.3"
0.223869848733824,0.196906151924999,0.164,0.163,1,"TAF3"
0.224334751040939,-0.272771166938055,0.013,0.016,1,"PDE10A"
0.224731556189771,-0.416007624529414,0.008,0.011,1,"AC021097.1"
0.224998843281172,0.115528891902384,0.274,0.282,1,"DBNL"
0.225020753351765,0.416124088652528,0.019,0.016,1,"TWNK"
0.225751399385807,-0.175745826507141,0.024,0.028,1,"TADA1"
0.226413117023393,0.13578332319924,0.241,0.245,1,"LNPEP"
0.226506023346927,0.142082953943965,0.226,0.229,1,"PRKCSH"
0.226650748887179,-0.10773358653863,0.047,0.054,1,"ASB6"
0.226885612911591,-0.345613633662277,0.007,0.01,1,"RPSAP58"
0.226934141488383,-0.196013475506108,0.012,0.015,1,"MRPL46"
