"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.216827e-05,0.4505657,0.937,0.941,0.373858,"33","MT-ND5"
1.224379e-05,0.5626001,0.252,0.159,0.3761783,"33","DDX50"
1.229153e-05,0.4772267,0.356,0.245,0.3776449,"33","FNBP4"
1.249976e-05,0.5653931,0.278,0.18,0.3840426,"33","EHD4"
1.258472e-05,0.3104231,0.615,0.49,0.386653,"33","MCL1"
1.272952e-05,0.5240555,0.319,0.215,0.3911019,"33","IST1"
1.29859e-05,0.5597048,0.309,0.209,0.3989788,"33","PDCD7"
1.320517e-05,0.5173042,0.338,0.231,0.4057155,"33","GANAB"
1.322126e-05,0.5225176,0.306,0.204,0.4062099,"33","TOMM22"
1.365911e-05,0.2507643,0.675,0.524,0.4196625,"33","TBCA"
1.387296e-05,0.5949169,0.274,0.18,0.4262327,"33","ING1"
1.456964e-05,0.2993186,0.479,0.343,0.4476375,"33","AC010618.1"
1.509135e-05,0.5630995,0.322,0.22,0.4636665,"33","HUWE1"
1.584731e-05,0.5266425,0.331,0.226,0.4868928,"33","EPS15"
1.585046e-05,0.3324774,0.457,0.33,0.4869895,"33","TIMM8B"
1.74672e-05,0.2879924,0.451,0.32,0.5366623,"33","ECHS1"
1.856593e-05,0.5172728,0.271,0.175,0.5704196,"33","RTCB"
1.859479e-05,0.4151425,0.416,0.3,0.5713062,"33","DPP7"
1.930826e-05,0.539902,0.265,0.171,0.5932271,"33","COMMD3"
2.03794e-05,0.426029,0.344,0.235,0.6261368,"33","PPP2R1A"
2.038376e-05,0.5809969,0.265,0.174,0.6262706,"33","WDR26"
2.066578e-05,0.5209189,0.281,0.184,0.6349354,"33","ABI1"
2.087713e-05,0.6154228,0.252,0.163,0.6414289,"33","CCNH"
2.155754e-05,0.5522524,0.274,0.18,0.6623338,"33","C1D"
2.202602e-05,0.2622848,0.644,0.509,0.6767274,"33","C19orf53"
2.251037e-05,0.3739704,0.379,0.268,0.6916087,"33","CTSH"
2.273276e-05,0.5756433,0.252,0.163,0.6984412,"33","TGS1"
2.446755e-05,0.5180439,0.306,0.207,0.7517409,"33","GPI"
2.50483e-05,0.6508315,0.287,0.195,0.7695838,"33","NEU1"
2.516472e-05,0.875528,0.637,0.584,0.7731609,"33","CTSD"
2.545915e-05,0.3463355,0.483,0.359,0.7822071,"33","SH3GLB1"
2.697786e-05,0.2984344,0.489,0.365,0.8288677,"33","AMD1"
2.807697e-05,0.3382913,0.508,0.379,0.862637,"33","IK"
2.892472e-05,0.5095459,0.262,0.169,0.8886832,"33","NCBP3"
2.898144e-05,0.3553357,0.467,0.346,0.8904256,"33","GHITM"
3.097072e-05,0.4185783,0.287,0.189,0.9515444,"33","ADAM10"
3.154817e-05,0.3570822,0.413,0.297,0.9692861,"33","EIF2AK2"
3.217745e-05,0.4817504,0.344,0.24,0.9886199,"33","BIRC6"
3.275236e-05,0.4901237,0.281,0.186,1,"33","CPNE1"
3.344211e-05,0.3292174,0.536,0.416,1,"33","NDUFB8"
3.389678e-05,0.3769803,0.574,0.474,1,"33","INTS6"
3.390188e-05,0.2829053,0.514,0.377,1,"33","CDC37"
3.479156e-05,0.4985095,0.268,0.176,1,"33","BUD23"
3.50275e-05,0.4762203,0.284,0.188,1,"33","ZSCAN16-AS1"
3.625538e-05,0.408725,0.457,0.344,1,"33","DDX21"
3.696415e-05,0.6239417,0.268,0.18,1,"33","MRPL22"
3.774087e-05,0.2953448,0.492,0.376,1,"33","RDX"
3.778564e-05,0.4389344,0.315,0.215,1,"33","POGZ"
3.789469e-05,0.3508111,0.473,0.35,1,"33","SLIRP"
4.059125e-05,0.313021,0.41,0.297,1,"33","SERPINB1"
4.514907e-05,0.4824634,0.388,0.29,1,"33","TXN2"
4.530258e-05,0.5733465,0.3,0.206,1,"33","CAND1"
4.760495e-05,0.4975933,0.29,0.196,1,"33","WBP4"
4.989821e-05,0.2840251,0.713,0.603,1,"33","TXN"
4.99992e-05,0.4509945,0.347,0.246,1,"33","DNAJC21"
5.088809e-05,0.4376085,0.467,0.355,1,"33","CIAO2B"
5.242576e-05,0.4725494,0.293,0.199,1,"33","WIPI2"
5.372035e-05,0.4038167,0.401,0.293,1,"33","MAP2K2"
5.576017e-05,0.5093215,0.265,0.176,1,"33","FBXO7"
5.628856e-05,0.4711839,0.334,0.235,1,"33","SYAP1"
5.696523e-05,0.5493309,0.265,0.177,1,"33","CISD3"
5.722212e-05,0.4427631,0.404,0.3,1,"33","STAG2"
5.751216e-05,0.41283,0.315,0.216,1,"33","PHKB"
5.971013e-05,0.2813385,0.413,0.293,1,"33","RAP1A"
6.188585e-05,0.6408385,0.284,0.196,1,"33","FNIP2"
6.197562e-05,0.402652,0.319,0.218,1,"33","FAM32A"
6.318459e-05,0.5069501,0.268,0.179,1,"33","DYNLL2"
6.518751e-05,0.5172155,0.259,0.171,1,"33","MRPS31"
6.568586e-05,0.4050323,0.356,0.251,1,"33","TRAPPC2L"
6.670908e-05,0.4427444,0.271,0.18,1,"33","ZNF326"
6.956027e-05,0.4274625,0.319,0.22,1,"33","VEZF1"
7.00352e-05,0.4188475,0.404,0.301,1,"33","TCEA1"
7.031438e-05,0.3661414,0.416,0.308,1,"33","MDH2"
7.126861e-05,0.4128808,0.363,0.262,1,"33","USP15"
7.234653e-05,0.3045965,0.41,0.294,1,"33","PAFAH1B1"
7.396639e-05,0.2548318,0.555,0.424,1,"33","ROMO1"
7.717861e-05,0.4718554,0.334,0.236,1,"33","WTAP"
7.728381e-05,0.6127414,0.287,0.198,1,"33","ADAM15"
7.842439e-05,0.5315092,0.265,0.178,1,"33","TEX264"
7.910692e-05,0.4015157,0.385,0.28,1,"33","MCRIP1"
7.937606e-05,0.5749296,0.268,0.183,1,"33","PIH1D1"
8.142762e-05,0.4039434,0.328,0.229,1,"33","PHF20"
8.169589e-05,0.518864,0.271,0.188,1,"33","ZNF331"
8.204352e-05,0.5395891,0.341,0.252,1,"33","RNF130"
8.306549e-05,0.2514184,0.568,0.435,1,"33","NDUFA11"
8.367583e-05,0.723422,0.35,0.262,1,"33","C1QBP"
8.380502e-05,0.4957888,0.271,0.183,1,"33","CHD3"
8.517817e-05,0.4868089,0.265,0.177,1,"33","LRRFIP2"
8.854333e-05,0.4431764,0.341,0.243,1,"33","ATM"
9.228945e-05,0.2818422,0.461,0.339,1,"33","PSMB4"
9.393427e-05,0.5581435,0.252,0.169,1,"33","TUBGCP2"
9.431674e-05,0.5136328,0.281,0.193,1,"33","CCDC124"
9.484124e-05,0.4869628,0.331,0.237,1,"33","MRPL34"
9.556732e-05,0.3644712,0.429,0.323,1,"33","PSMD4"
9.670526e-05,0.3760717,0.344,0.242,1,"33","OIP5-AS1"
9.781048e-05,0.3831506,0.457,0.345,1,"33","FXR1"
9.788762e-05,0.5021251,0.284,0.196,1,"33","ARL8B"
9.793091e-05,0.4514434,0.334,0.239,1,"33","ARF5"
0.0001013225,0.2604149,0.574,0.445,1,"33","SF3B6"
0.0001018339,0.4429467,0.322,0.227,1,"33","NDUFS3"
0.0001019815,0.4505126,0.309,0.215,1,"33","CDK12"
0.0001022881,0.2799602,0.533,0.41,1,"33","NDUFB9"
0.0001072301,0.5840418,0.306,0.221,1,"33","METRNL"
0.0001106759,0.4827782,0.268,0.182,1,"33","PPP4R3A"
0.0001150504,0.4562824,0.328,0.235,1,"33","CNIH4"
0.0001166983,0.5392085,0.256,0.172,1,"33","HERC1"
0.0001178445,0.4856082,0.284,0.195,1,"33","MMADHC"
0.0001273173,0.3176061,0.565,0.452,1,"33","HERPUD1"
0.0001366308,0.4009376,0.369,0.267,1,"33","NARS"
0.0001450215,0.3199652,0.435,0.322,1,"33","SCAND1"
0.000145683,0.3787303,0.322,0.226,1,"33","PPP2R5E"
0.0001468136,0.2530805,0.826,0.804,1,"33","RAC1"
